Rodada,JogoLocal,JogoData,JogoNumero,JogoTimeA,JogoTimeB,Funcao,Nome,Categoria,Federacao
2,Beira-Rio - Porto Alegre - RS,05/01/2019 16:00:00,11,Internacional - RS,Flamengo - RJ,Observador de VAR,Giulliano Bozzano,CBF,MG
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Árbitro,Wagner Reway,FIFA,PB
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Árbitro Assistente 1,Bruno Boschilia,FIFA,PR
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Árbitro Assistente 2,Neuza Ines Back,FIFA,SP
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Quarto Árbitro,Felipe Fernandes de Lima,AB,MG
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Analista de Campo,Renato Cardoso da Conceição,CBF,MG
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Árbitro de Vídeo,Heber Roberto Lopes,MTR,SC
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Assistente de Árbitro de Vídeo 1,Joao Batista de Arruda,AB,RJ
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Assistente de Árbitro de Vídeo 2,Helton Nunes,AB,SC
2,Mineirão - Belo Horizonte - MG,05/01/2019 19:15:00,12,Cruzeiro - MG,Ceará - CE,Observador de VAR,Ednilson Corona,CBF,SP
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Árbitro,Wagner do Nascimento Magalhaes,FIFA,RJ
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Árbitro Assistente 1,Michael Correia,AB,RJ
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Árbitro Assistente 2,Carlos Henrique Alves de Lima Filho,AB,RJ
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Quarto Árbitro,Ramon Abatti Abel,AB,SC
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Analista de Campo,Cantucho João Setúbal,CBF,SC
2,Ressacada - Florianopolis - SC,05/01/2019 19:15:00,18,Avaí - SC,Grêmio - RS,Árbitro de Vídeo,Rodrigo Carvalhaes de Miranda,AB,RJ
